Image_Link,Species_Name,Common_Name
/afbid/search/browse/species/2108/28,Onychognathus morio (6),Red-winged Starling
/afbid/search/browse/species/2112/28,Onychognathus salvadorii (4),Bristle-crowned Starling
/afbid/search/browse/species/2114/28,Onychognathus tenuirostris (1),Slender-billed Starling
/afbid/search/browse/species/1682/28,Oreolais pulcher (4),Black-collared Apalis
/afbid/search/browse/species/2059/28,Oriolus auratus (1),African Golden Oriole
/afbid/search/browse/species/2058/28,Oriolus chlorocephalus (1),Green-headed Oriole
/afbid/search/browse/species/2056/28,Oriolus larvatus (1),Black-headed Oriole
/afbid/search/browse/species/2060/28,Oriolus oriolus (2),Eurasian Golden Oriole
/afbid/search/browse/species/2055/28,Oriolus percivali (3),Mountain Oriole
/afbid/search/browse/species/371/28,Ortygornis sephaena (6),Crested Francolin
/afbid/search/browse/species/2357/28,Ortygospiza atricollis (2),Quailfinch
/afbid/search/browse/species/801/28,Otus ireneae (9),Sokoke Scops Owl
/afbid/search/browse/species/804/28,Otus senegalensis (1),African Scops Owl
/afbid/search/browse/species/437/28,Paragallinula angulata (2),Lesser Moorhen
/afbid/search/browse/species/2171/28,Passer castanopterus (2),Somali Sparrow
/afbid/search/browse/species/2168/28,Passer domesticus (3),House Sparrow
/afbid/search/browse/species/2173/28,Passer eminibey (7),Chestnut Sparrow
/afbid/search/browse/species/2158/28,Passer gongonensis (9),Parrot-billed Sparrow
/afbid/search/browse/species/2156/28,Passer griseus (4),Northern Grey-headed Sparrow
/afbid/search/browse/species/2162/28,Passer rufocinctus (11),Kenya Sparrow
/afbid/search/browse/species/2159/28,Passer suahelicus (2),Swahili Sparrow
/afbid/search/browse/species/105/28,Pelecanus onocrotalus (6),Great White Pelican
/afbid/search/browse/species/106/28,Pelecanus rufescens (2),Pink-backed Pelican
/afbid/search/browse/species/233/28,Pernis apivorus (1),European Honey Buzzard
/afbid/search/browse/species/93/28,Phalacrocorax lucidus (8),White-breasted Cormorant
/afbid/search/browse/species/162/28,Phoeniconaias minor (5),Lesser Flamingo
/afbid/search/browse/species/161/28,Phoenicopterus roseus (1),Greater Flamingo
/afbid/search/browse/species/967/28,Phoeniculus bollei (1),White-headed Wood Hoopoe
/afbid/search/browse/species/2651/28,Phoeniculus granti (2),Grant's Wood Hoopoe
/afbid/search/browse/species/968/28,Phoeniculus purpureus (3),Green Wood Hoopoe
/afbid/search/browse/species/2145/28,Pholia sharpii (3),Sharpe’s Starling
/afbid/search/browse/species/1307/28,Phyllastrephus debilis (4),Lowland Tiny Greenbul
/afbid/search/browse/species/1296/28,Phyllastrephus hypochloris (1),Toro Olive Greenbul
/afbid/search/browse/species/2727/28,Phyllastrephus placidus (4),Placid Greenbul
/afbid/search/browse/species/1292/28,Phyllastrephus strepitans (2),Northern Brownbul
/afbid/search/browse/species/1543/28,Phylloscopus trochilus (1),Willow Warbler
/afbid/search/browse/species/1553/28,Phylloscopus umbrovirens (2),Brown Woodland Warbler
/afbid/search/browse/species/1418/28,Pinarochroa sordida (3),Moorland Chat
/afbid/search/browse/species/160/28,Platalea alba (10),African Spoonbill
/afbid/search/browse/species/1772/28,Platysteira castanea (2),Chestnut Wattle-eye
/afbid/search/browse/species/1778/28,Platysteira cyanea (2),Brown-throated Wattle-eye
/afbid/search/browse/species/1776/28,Platysteira jamesoni (2),Jameson’s Wattle-eye
/afbid/search/browse/species/1780/28,Platysteira peltata (1),Black-throated Wattle-eye
/afbid/search/browse/species/183/28,Plectropterus gambensis (1),Spur-winged Goose
/afbid/search/browse/species/150/28,Plegadis falcinellus (1),Glossy Ibis
/afbid/search/browse/species/2186/28,Plocepasser donaldsoni (7),Donaldson-Smith's Sparrow-Weaver
/afbid/search/browse/species/2183/28,Plocepasser mahali (11),White-browed Sparrow-Weaver
/afbid/search/browse/species/2206/28,Ploceus baglafecht (11),Baglafecht Weaver
/afbid/search/browse/species/2252/28,Ploceus bicolor (2),Dark-backed Weaver
/afbid/search/browse/species/2222/28,Ploceus bojeri (17),Golden Palm Weaver
/afbid/search/browse/species/2223/28,Ploceus castaneiceps (5),Taveta Weaver
/afbid/search/browse/species/2226/28,Ploceus castanops (3),Northern Brown-throated Weaver
/afbid/search/browse/species/2240/28,Ploceus cucullatus (12),Village Weaver
/afbid/search/browse/species/2243/28,Ploceus golandi (6),Kilifi Weaver
/afbid/search/browse/species/2253/28,Ploceus insignis (3),Brown-capped Weaver
/afbid/search/browse/species/2229/28,Ploceus intermedius (6),Lesser Masked Weaver
/afbid/search/browse/species/2246/28,Ploceus jacksoni (7),Golden-backed Weaver
/afbid/search/browse/species/2210/28,Ploceus luteolus (4),Little Weaver
/afbid/search/browse/species/2215/28,Ploceus melanogaster (1),Black-billed Weaver
/afbid/search/browse/species/2213/28,Ploceus nigricollis (2),Black-necked Weaver
/afbid/search/browse/species/2214/28,Ploceus ocularis (3),Spectacled Weaver
/afbid/search/browse/species/2211/28,Ploceus pelzelni (2),Slender-billed Weaver
/afbid/search/browse/species/2247/28,Ploceus rubiginosus (1),Chestnut Weaver
/afbid/search/browse/species/2237/28,Ploceus spekei (12),Speke’s Weaver
/afbid/search/browse/species/2219/28,Ploceus subaureus (10),Eastern Golden Weaver
/afbid/search/browse/species/2228/28,Ploceus taeniopterus (3),Northern Masked Weaver
/afbid/search/browse/species/2231/28,Ploceus vitellinus (1),Vitelline Masked Weaver
/afbid/search/browse/species/2220/28,Ploceus xanthops (5),Holub’s Golden Weaver
/afbid/search/browse/species/2104/28,Poeoptera stuhlmanni (3),Stuhlmann’s Starling
/afbid/search/browse/species/1013/28,Pogoniulus bilineatus (1),Yellow-rumped Tinkerbird
/afbid/search/browse/species/1009/28,Pogoniulus leucomystax (1),Moustached Tinkerbird
/afbid/search/browse/species/1014/28,Pogoniulus pusillus (1),Red-fronted Tinkerbird
/afbid/search/browse/species/1008/28,Pogoniulus simplex (1),Green Tinkerbird
/afbid/search/browse/species/1335/28,Pogonocichla stellata (1),White-starred Robin
/afbid/search/browse/species/1032/28,Pogonornis bidentatus (5),Double-toothed Barbet
/afbid/search/browse/species/1030/28,Pogonornis melanopterus (2),Brown-breasted Barbet
/afbid/search/browse/species/717/28,Poicephalus gulielmi (1),Red-fronted Parrot
/afbid/search/browse/species/718/28,Poicephalus meyeri (7),Meyer's Parrot
/afbid/search/browse/species/721/28,Poicephalus rufiventris (4),Red-bellied Parrot
/afbid/search/browse/species/319/28,Polemaetus bellicosus (7),Martial Eagle
/afbid/search/browse/species/321/28,Polihierax semitorquatus (5),Pygmy Falcon
/afbid/search/browse/species/2648/28,Porphyrio madagascariensis (2),African Swamphen
/afbid/search/browse/species/2754/28,Prinia melanops (1),Black-faced Prinia
/afbid/search/browse/species/1678/28,Prinia rufifrons (2),Red-fronted Prinia
/afbid/search/browse/species/1667/28,Prinia somalica (3),Pale Prinia
/afbid/search/browse/species/1665/28,Prinia subflava (3),Tawny-flanked Prinia
/afbid/search/browse/species/2044/28,Prionops plumatus (2),White-crested Helmetshrike
/afbid/search/browse/species/2045/28,Prionops poliolophus (4),Grey-crested Helmetshrike
/afbid/search/browse/species/2049/28,Prionops retzii (2),Retz’s Helmetshrike
/afbid/search/browse/species/2051/28,Prionops scopifrons (5),Chestnut-fronted Helmetshrike
/afbid/search/browse/species/1042/28,Prodotiscus regulus (1),Brown-backed Honeybird
/afbid/search/browse/species/1178/28,Psalidoprocne albiceps (1),White-headed Saw-wing
/afbid/search/browse/species/1186/28,Pseudhirundo griseopyga (1),Grey-rumped Swallow
/afbid/search/browse/species/2190/28,Pseudonigrita arnaudi (8),Grey-capped Social Weaver
/afbid/search/browse/species/2191/28,Pseudonigrita cabanisi (5),Black-capped Social Weaver
/afbid/search/browse/species/393/28,Pternistis afer (6),Red-necked Spurfowl
/afbid/search/browse/species/377/28,Pternistis hildebrandti (2),Hildebrandt's Spurfowl
/afbid/search/browse/species/388/28,Pternistis jacksoni (9),Jackson's Spurfowl
/afbid/search/browse/species/395/28,Pternistis leucoscepus (8),Yellow-necked Spurfowl
/afbid/search/browse/species/372/28,Pternistis squamatus (1),Scaly Spurfowl
/afbid/search/browse/species/660/28,Pterocles decoratus (9),Black-faced Sandgrouse
/afbid/search/browse/species/654/28,Pterocles exustus (6),Chestnut-bellied Sandgrouse
/afbid/search/browse/species/664/28,Pterocles gutturalis (8),Yellow-throated Sandgrouse
/afbid/search/browse/species/661/28,Pterocles lichtensteinii (2),Lichtenstein's Sandgrouse
/afbid/search/browse/species/814/28,Ptilopsis leucotis (2),Northern White-faced Owl
/afbid/search/browse/species/2793/28,Ptyonoprogne rufigula (6),Red-throated Rock Martin
/afbid/search/browse/species/2683/28,Pycnonotus dodsoni (1),Dodson's Bulbul
/afbid/search/browse/species/2684/28,Pycnonotus tricolor (5),Dark-capped Bulbul
/afbid/search/browse/species/2343/28,Pytilia melba (3),Green-winged Pytilia
/afbid/search/browse/species/2267/28,Quelea quelea (3),Red-billed Quelea
/afbid/search/browse/species/422/28,Rallus caerulescens (1),African Rail
/afbid/search/browse/species/482/28,Recurvirostra avosetta (2),Pied Avocet
/afbid/search/browse/species/971/28,Rhinopomastus cyanomelas (1),Common Scimitarbill
/afbid/search/browse/species/973/28,Rhinopomastus minor (4),Abyssinian Scimitarbill
/afbid/search/browse/species/491/28,Rhinoptilus africanus (3),Double-banded Courser
/afbid/search/browse/species/492/28,Rhinoptilus cinctus (4),Three-banded Courser
/afbid/search/browse/species/1182/28,Riparia paludicola (1),Brown-throated Martin
/afbid/search/browse/species/320/28,Sagittarius serpentarius (6),Secretarybird
/afbid/search/browse/species/185/28,Sarkidiornis melanotos (3),Knob-billed Duck
/afbid/search/browse/species/408/28,Sarothrura pulchra (3),White-spotted Flufftail
/afbid/search/browse/species/1388/28,Saxicola torquatus (2),African Stonechat
/afbid/search/browse/species/1673/28,Schistolais leucopogon (3),White-chinned Prinia
/afbid/search/browse/species/366/28,Scleroptila levaillantii (1),Red-winged Francolin
/afbid/search/browse/species/368/28,Scleroptila shelleyi (6),Shelley's Francolin
/afbid/search/browse/species/140/28,Scopus umbretta (6),Hamerkop
/afbid/search/browse/species/2612/28,Serinus flavivertex (3),Yellow-crowned Canary
/afbid/search/browse/species/1340/28,Sheppardia aequatorialis (4),Equatorial Akalat
/afbid/search/browse/species/1342/28,Sheppardia gunningi (1),East Coast Akalat
/afbid/search/browse/species/1360/28,Sheppardia polioptera (2),Grey-winged Robin-Chat
/afbid/search/browse/species/203/28,Spatula hottentota (1),Blue-billed Teal
/afbid/search/browse/species/2142/28,Speculipastor bicolor (7),Magpie Starling
/afbid/search/browse/species/2365/28,Spermestes bicolor (3),Black-and-White Mannikin
/afbid/search/browse/species/2364/28,Spermestes cucullata (2),Bronze Mannikin
/afbid/search/browse/species/2363/28,Spermestes griseicapilla (3),Grey-headed Silverbill
/afbid/search/browse/species/711/28,Spilopelia senegalensis (1),Laughing Dove
/afbid/search/browse/species/1158/28,Spizocorys fremantlii (2),Short-tailed Lark
/afbid/search/browse/species/1154/28,Spizocorys personata (2),Masked Lark
/afbid/search/browse/species/2188/28,Sporopipes frontalis (8),Speckle-fronted Weaver
/afbid/search/browse/species/1003/28,Stactolaema leucotis (1),White-eared Barbet
/afbid/search/browse/species/1276/28,Stelgidillas gracilirostris (4),Slender-billed Greenbul
/afbid/search/browse/species/318/28,Stephanoaetus coronatus (11),Crowned Eagle
/afbid/search/browse/species/630/28,Sterna dougallii (1),Roseate Tern
/afbid/search/browse/species/639/28,Sternula saundersi (2),Saunders's Tern
/afbid/search/browse/species/704/28,Streptopelia capicola (7),Ring-necked Dove
/afbid/search/browse/species/702/28,Streptopelia decipiens (2),Mourning Collared Dove
/afbid/search/browse/species/710/28,Streptopelia lugens (2),Dusky Turtle Dove
/afbid/search/browse/species/1/28,Struthio camelus (5),Common Ostrich
/afbid/search/browse/species/2603/28,Struthio molybdophanes (6),Somali Ostrich
/afbid/search/browse/species/1808/28,Sylvia abyssinica (1),African Hill Babbler
/afbid/search/browse/species/1567/28,Sylvia atricapilla (1),Eurasian Blackcap
/afbid/search/browse/species/1534/28,Sylvietta brachyura (1),Northern Crombec
/afbid/search/browse/species/1538/28,Sylvietta isabellina (1),Somali Crombec
/afbid/search/browse/species/1535/28,Sylvietta whytii (1),Red-faced Crombec
/afbid/search/browse/species/76/28,Tachybaptus ruficollis (3),Little Grebe
/afbid/search/browse/species/279/28,Tachyspiza badius (1),Shikra
/afbid/search/browse/species/283/28,Tachyspiza minullus (1),Little Sparrowhawk
/afbid/search/browse/species/742/28,Tauraco fischeri (2),Fischer's Turaco
/afbid/search/browse/species/747/28,Tauraco hartlaubi (6),Hartlaub's Turaco
/afbid/search/browse/species/744/28,Tauraco leucolophus (3),White-crested Turaco
/afbid/search/browse/species/739/28,Tauraco schalowi (1),Schalow’s Turaco
/afbid/search/browse/species/741/28,Tauraco schuettii (1),Black-billed Turaco
/afbid/search/browse/species/2015/28,Tchagra australis (7),Brown-crowned Tchagra
/afbid/search/browse/species/2018/28,Tchagra senegalus (1),Black-crowned Tchagra
/afbid/search/browse/species/2013/28,Telophorus cruentus (3),Rosy-patched Bushshrike
/afbid/search/browse/species/2010/28,Telophorus viridis (1),Gorgeous Bushshrike
/afbid/search/browse/species/260/28,Terathopius ecaudatus (6),Bateleur
/afbid/search/browse/species/1760/28,Terpsiphone viridis (3),African Paradise Flycatcher
/afbid/search/browse/species/627/28,Thalasseus bengalensis (2),Lesser Crested Tern
/afbid/search/browse/species/626/28,Thalasseus bergii (2),Greater Crested Tern
/afbid/search/browse/species/166/28,Thalassornis leuconotus (3),White-backed Duck
/afbid/search/browse/species/155/28,Threskiornis aethiopicus (5),African Sacred Ibis
/afbid/search/browse/species/1221/28,Tmetothylacus tenellus (7),Golden Pipit
/afbid/search/browse/species/984/28,Tockus deckeni (7),Von der Decken's Hornbill
/afbid/search/browse/species/981/28,Tockus erythrorhynchus (7),Northern Red-billed Hornbill
/afbid/search/browse/species/983/28,Tockus flavirostris (7),Eastern Yellow-billed Hornbill
/afbid/search/browse/species/985/28,Tockus jacksoni (8),Jackson's Hornbill
/afbid/search/browse/species/252/28,Torgos tracheliotos (9),Lappet-faced Vulture
/afbid/search/browse/species/1039/28,Trachyphonus darnaudii (6),D'Arnaud's Barbet
/afbid/search/browse/species/1037/28,Trachyphonus erythrocephalus (6),Red-and-yellow Barbet
/afbid/search/browse/species/2742/28,Trachyphonus usambiro (5),Usambiro Barbet
/afbid/search/browse/species/667/28,Treron calvus (2),African Green Pigeon
/afbid/search/browse/species/1018/28,Tricholaema diademata (3),Red-fronted Barbet
/afbid/search/browse/species/1017/28,Tricholaema hirsuta (1),Hairy-breasted Barbet
/afbid/search/browse/species/1021/28,Tricholaema lacrymosa (7),Spot-flanked Barbet
/afbid/search/browse/species/1022/28,Tricholaema melanocephala (2),Black-throated Barbet
/afbid/search/browse/species/253/28,Trigonoceps occipitalis (1),White-headed Vulture
/afbid/search/browse/species/580/28,Tringa glareola (3),Wood Sandpiper
/afbid/search/browse/species/575/28,Tringa nebularia (1),Common Greenshank
/afbid/search/browse/species/579/28,Tringa ochropus (3),Green Sandpiper
/afbid/search/browse/species/574/28,Tringa stagnatilis (2),Marsh Sandpiper
/afbid/search/browse/species/1820/28,Turdoides hindei (3),Hinde’s Babbler
/afbid/search/browse/species/1821/28,Turdoides hypoleuca (7),Northern Pied Babbler
/afbid/search/browse/species/1811/28,Turdoides jardineii (2),Arrow-marked Babbler
/afbid/search/browse/species/1810/28,Turdoides plebejus (3),Brown Babbler
/afbid/search/browse/species/1826/28,Turdoides rubriginosa (4),Rufous Chatterer
/afbid/search/browse/species/1818/28,Turdoides sharpei (4),Black-lored Babbler
/afbid/search/browse/species/1822/28,Turdoides squamulata (2),Scaly Babbler
/afbid/search/browse/species/2634/28,Turdus abyssinicus (7),Abyssinian Thrush
/afbid/search/browse/species/2635/28,Turdus helleri (3),Taita Thrush
/afbid/search/browse/species/1457/28,Turdus olivaceus (2),Olive Thrush
/afbid/search/browse/species/1460/28,Turdus tephronotus (4),Bare-eyed Thrush
/afbid/search/browse/species/679/28,Turtur chalcospilos (3),Emerald-spotted Wood Dove
/afbid/search/browse/species/2650/28,Upupa africana (2),African Hoopoe
/afbid/search/browse/species/974/28,Upupa epops (2),Eurasian Hoopoe
/afbid/search/browse/species/2331/28,Uraeginthus bengalus (6),Red-cheeked Cordon-bleu
/afbid/search/browse/species/2332/28,Uraeginthus cyanocephalus (2),Blue-capped Cordon-bleu
/afbid/search/browse/species/903/28,Urocolius macrourus (2),Blue-naped Mousebird
/afbid/search/browse/species/524/28,Vanellus armatus (5),Blacksmith Lapwing
/afbid/search/browse/species/529/28,Vanellus coronatus (3),Crowned Lapwing
/afbid/search/browse/species/532/28,Vanellus crassirostris (4),Long-toed Lapwing
/afbid/search/browse/species/527/28,Vanellus lugubris (1),Senegal Lapwing
/afbid/search/browse/species/528/28,Vanellus melanopterus (1),Black-winged Lapwing
/afbid/search/browse/species/520/28,Vanellus senegallus (7),African Wattled Lapwing
/afbid/search/browse/species/525/28,Vanellus spinosus (4),Spur-winged Lapwing
/afbid/search/browse/species/523/28,Vanellus tectus (4),Black-headed Lapwing
/afbid/search/browse/species/2380/28,Vidua chalybeata (3),Village Indigobird
/afbid/search/browse/species/2378/28,Vidua fischeri (7),Straw-tailed Whydah
/afbid/search/browse/species/2377/28,Vidua hypocherina (1),Steel-blue Whydah
/afbid/search/browse/species/2371/28,Vidua macroura (4),Pin-tailed Whydah
/afbid/search/browse/species/2376/28,Vidua paradisaea (4),Long-tailed Paradise Whydah
/afbid/search/browse/species/2697/28,Zosterops kikuyuensis (6),Kikuyu White-eye
/afbid/search/browse/species/1958/28,Zosterops senegalensis (1),Northern Yellow White-eye
/afbid/search/browse/species/2672/28,Zosterops silvanus (4),Taita White-eye
